Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ШГРП;№01150137;Хмільницький район село Павленки ;включене;21;20;20;17;15;10;9;7;4;8;7;8;17;8;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150138;Хмільницький район місто Калинівка (Вадоканал);відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150139;Хмільницький район село Радівка Молодіжна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150142;Хмільницький район місто Калинівка Пром.(Калина);включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;11.Вер;11.Вер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;2
ШГРП;№01150143;"Хмільницький район місто Калинівка  Коцюб.""Атлант""";включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150144;Хмільницький район місто Калинівка  Грушевського;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150145;Хмільницький район місто Калинівка Коцюбинського;включене;22;21;24;23;23;23;23;22;22;22;21;22;23;22;27.Сер;27.Сер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150146;Хмільницький район село Байківка Бездушного;включене;6;5;7;1;1  30;27;28;27;26;26;21;19;23;22;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;3;3
ШГРП;№01150147;Хмільницький район село Котюженці Шкільна;включене;15;14;17;16;16;11;10;8;5;7;6;5;23;22;24.Чер;24.Чер;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150148;Хмільницький район село Черепашинці Центральна;включене;14;13;13;10;9;9;8;6;3;3;4;4;10;3;24.Лип;24.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
